num_particles,velocity,forces_x,forces_y,forces_z,radius,yzarea
6.0,0.08105263157894736,1.0340376188895692e-08,3.143877466027502e-08,2.9588553980213216e-09,0.0005,2.0343215140200764e-06
6.0,0.08578947368421053,1.7826380662481146e-08,3.3498506465795537e-08,7.587197779563429e-11,0.0005,3.2914245541117362e-06
6.0,0.09052631578947369,1.5207151784765918e-08,3.307327730213344e-08,1.146285830589546e-09,0.0005,2.9846891697995106e-06
6.0,0.09526315789473684,2.1502204425476715e-08,3.1306792197653745e-08,1.6013796324848844e-10,0.0005,2.9264555247489854e-06
6.0,0.1,2.4396836301747736e-08,3.0887591021186065e-08,-5.365460138692644e-10,0.0005,2.6244209962267026e-06
7.0,0.01,1.454282843241535e-09,3.689815382095569e-08,-1.0889113257967859e-10,0.0005,4.37302779980709e-06
7.0,0.01473684210526316,2.1625180241961937e-09,3.7043071366015836e-08,1.1126910875416182e-10,0.0005,3.897843882770297e-06
7.0,0.019473684210526317,2.4667063260438268e-09,3.6908903762391144e-08,5.3214953096758236e-11,0.0005,2.984689139296115e-06
7.0,0.024210526315789474,2.7434940550122824e-09,3.682929295350185e-08,3.762353972684419e-10,0.0005,2.813890286727253e-06
7.0,0.02894736842105263,2.8560766479341393e-09,3.664620729894031e-08,-1.6346552400201846e-13,0.0005,1.7346373097367383e-06
7.0,0.03368421052631579,4.541299203310195e-09,3.686813167199303e-08,-1.5771277587396138e-09,0.0005,2.65353788629258e-06
7.0,0.03842105263157895,3.0451791140334807e-09,3.6850053245571636e-08,2.874765698701361e-10,0.0005,1.559137632323876e-06
7.0,0.04315789473684211,6.284203262450279e-09,3.598326551274846e-08,5.569239091587812e-10,0.0005,2.957922777052605e-06
7.0,0.04789473684210527,7.82885655815109e-09,3.6526907832017336e-08,1.7506198686048147e-10,0.0005,2.5906033817998203e-06
7.0,0.052631578947368425,3.1366108337769114e-09,3.664538761077974e-08,-2.0649209564907788e-10,0.0005,1.2547526229384207e-06
7.0,0.05736842105263158,8.626056638572117e-09,3.8261109552400655e-08,-3.2318050434310557e-10,0.0005,2.5142061197666735e-06
7.0,0.06210526315789474,1.1967777670297721e-08,3.738417050353362e-08,1.9573900252580952e-10,0.0005,2.955572269941521e-06
7.0,0.0668421052631579,1.0476275452918869e-08,3.4879318252024886e-08,8.564666343391645e-10,0.0005,2.7843200975510683e-06
7.0,0.07157894736842106,9.821199058498699e-09,3.418237565937834e-08,1.335808788041312e-09,0.0005,2.1468868410626726e-06
7.0,0.07631578947368421,1.7710126843161224e-08,3.496224354696413e-08,-1.964145019090665e-10,0.0005,3.293774981600274e-06
7.0,0.08105263157894736,1.6421576858358145e-08,3.393784920322241e-08,1.604570219911595e-09,0.0005,2.924105103484581e-06
7.0,0.08578947368421053,2.5529144802292167e-08,3.8446143786259116e-08,1.0737446154764443e-09,0.0005,4.039525889491129e-06
